,City,Country,Lat,Lng,Hotel Name
0,raton,US,36.9,-104.44,Quality Inn
1,puerto lempira,ES,36.59,-6.23,Duques de Medinaceli
2,vaini,TO,-21.2,-175.2,Dayspring Lodge
3,hobart,AU,-42.88,147.33,The Brunswick Hotel
4,jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
5,georgetown,MY,5.41,100.34,The Gurney Resort Hotel and Residences
6,lebu,CL,-37.62,-73.65,Hotel Plaza Lebu
7,naze,JP,28.37,129.48,Hotel New Amami
8,huarmey,PE,-10.07,-78.15,Hotel Miramar
9,nyurba,RU,63.28,118.33,У Валерии
10,luoyang,CN,34.68,112.45,Christian's Hotel
11,omsukchan,RU,62.53,155.8,
12,atuona,PF,-9.8,-139.03,
13,nantucket,US,41.28,-70.1,Hotel Pippa
14,lagoa,PT,39.05,-27.98,Hotel Ilha Graciosa
15,namibe,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
16,rikitea,PF,-23.12,-134.97,Pension Maro'i
17,tiksi,RU,71.69,128.87,Arktika
18,anadyr,RU,64.75,177.48,Chukotka hotel
19,adeje,ES,28.12,-16.73,Hotel Riu Palace Tenerife
20,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
21,sobolevo,RU,54.43,31.9,
22,mahebourg,MU,-20.41,57.7,Shandrani Beachcomber Resort & Spa
23,thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
24,bathsheba,BB,13.22,-59.52,ECO Lifestyle & Lodge
25,cabo san lucas,BR,-8.28,-35.03,Hotel Intercity Suape Costa Dourada
26,buraydah,SA,26.33,43.98,Mövenpick Hotel Qassim
27,troitskoye,RU,52.98,84.68,Трактир НИКА
28,mataura,NZ,-46.19,168.86,Falls Hotel
29,alyangula,AU,-13.85,136.42,Groote Eylandt Lodge
30,arraial do cabo,BR,-22.84,-46.65,
31,codrington,AU,-38.27,141.97,Codrington Gardens Bed And Breakfast
32,dibulla,CO,11.27,-73.31,SAN JERONIMO HOTEL
33,fortuna,US,40.6,-124.16,The Redwood Riverwalk Hotel
34,jurm,AF,36.86,70.83,
35,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
36,hailar,CN,49.2,119.7,Halar Paradise Grassland ApartHotel
37,albany,US,42.6,-73.97,
38,puerto quijarro,ES,36.59,-6.23,Hotel Puerto Sherry
39,carutapera,BR,-1.2,-46.02,HOTEL R. SOARES
40,mackay,AU,-21.15,149.2,Shamrock Hotel
41,busselton,AU,-33.65,115.33,The Sebel Busselton
42,namie,JP,37.48,141.0,福島いこいの村なみえ
43,punta arenas,PH,8.99,125.34,
44,kapaa,US,22.08,-159.32,Hilton Garden Inn Kauai Wailua Bay
45,east london,IS,65.0,-15.0,Hengifoss Guesthouse
46,aykhal,RU,66.0,111.5,
47,geraldton,AU,-28.77,114.6,Ocean Centre Hotel
48,barrow,US,71.29,-156.79,Top of the World Hotel
49,port alfred,CD,-7.03,29.76,
50,nokaneng,BW,-19.67,22.27,
51,tuatapere,NZ,-46.13,167.68,Waiau Hotel
52,bubaque,GW,11.28,-15.83,Ponta Anchaca
53,vila franca do campo,PT,42.03,-8.16,Hotel Castrum Villae
54,pevek,RU,69.7,170.31,Munitsipal'naya Gostinitsa
55,birao,CF,10.28,22.79,
56,iracoubo,GF,5.48,-53.2,Iracoubo
57,khatanga,RU,71.97,102.5,
58,moranbah,AU,-22.0,148.05,Western Heritage Motor Inn
59,christchurch,NZ,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
60,maragogi,BR,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
61,nuuk,GL,64.18,-51.72,Hotel Hans Egede
62,makakilo city,US,21.35,-158.09,Marriott's Ko Olina Beach Club
63,coihaique,CL,-45.58,-72.07,Entre Cumbres Apart Hotel
64,kerema,PG,-7.96,145.78,GMI lodge Kerema
65,udachnyy,RU,66.42,112.4,
66,iqaluit,CA,63.75,-68.51,Accommodations By The Sea
67,selkirk,CA,50.14,-96.88,
68,adrar,MR,20.5,-10.07,
69,dalby,AU,-27.18,151.27,The Australian Hotel Motel
70,dickinson,US,29.46,-95.05,Hampton Inn & Suites Houston/League City
71,puerto ayora,ES,36.59,-6.23,Hotel Puerto Sherry
72,chokurdakh,RU,70.63,147.92,
73,tuktoyaktuk,CA,69.45,-133.04,
74,russell,US,32.35,-85.2,
75,ketchikan,US,55.34,-131.65,The Gilmore Hotel
76,corinto,GR,37.94,22.96,Club Hotel Casino Loutraki
77,olafsvik,IS,64.89,-23.71,Hotel Olafsvik
78,talnakh,RU,69.49,88.4,Talnakh Hotel
79,bani walid,DO,18.28,-70.33,Hotel El Alto
80,kruisfontein,ZA,-34.0,24.73,Humansdorp Boutique Hotel
81,kavaratti,IN,10.57,72.64,BISMI HOTEL
82,mar del plata,ES,43.4,-4.01,Hotel El Castillo
83,paita,PE,-5.09,-81.11,Hotel Marina Del Bay
84,carnarvon,AU,-24.87,113.63,Hospitality Carnarvon
85,karup,DK,56.31,9.17,Aadal Apartment
86,nome,US,64.5,-165.41,Nome Nugget Inn
87,hofn,IS,64.25,-15.21,Hótel Höfn
88,cap-aux-meules,CA,47.38,-61.86,Domaine Du Vieux Couvent
89,butaritari,KI,3.07,172.79,Isles Sunset Lodge
90,bluff,NZ,-46.6,168.33,Foveaux Hotel
91,bektemir,UZ,41.21,69.33,Grace Garden - комплекс отдыха
92,kropotkin,RU,45.44,40.58,Luxury House ECO-hotel & Spa
93,sembakung,ID,3.82,117.25,
94,blackwater,AU,-23.58,148.88,Blackwater Central Motel
95,tigzirt,DZ,36.89,4.12,Hôtel Mizrana
96,kodiak,US,57.79,-152.41,Best Western Kodiak Inn and Convention Center
97,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
98,saint-paul,RE,-21.01,55.27,Hôtel les Aigrettes
99,bengkulu,ID,-3.8,102.27,OYO 1669 Hotel Vista Syariah
100,fort nelson,NL,52.65,6.39,Hotel Restaurant Ter Linde
101,port-gentil,GA,-0.72,8.78,Jimmy Hotel
102,taoudenni,ML,22.68,-3.98,
103,avarua,CK,-21.21,-159.78,Sanctuary Rarotonga-On the Beach
104,miri,MY,4.41,114.01,Pullman Miri Waterfront
105,shitanjing,CN,39.23,106.34,
106,oda,JP,35.18,132.5,Plaza Hotel Sanbe
107,cape town,CL,-36.41,-71.9,Hotel Molino Viejo
108,hermanus,ZA,-34.42,19.23,Harbour House Hotel
109,dikson,RU,73.51,80.55,
110,sao joao da barra,IN,20.51,76.21,BULDANA URBAN RESIDENCY CLUB
111,saint-pierre,RE,-21.34,55.48,"Villa Delisle, Hotel & Spa"
112,clyde river,US,41.3,-82.98,Red Roof Inn Clyde
113,aklavik,CA,68.22,-135.01,Sundog Inn
114,brownwood,US,31.71,-98.99,Hampton Inn Brownwood
115,pangnirtung,CA,66.15,-65.71,Auyuittuq Lodge (Inns North)
116,cockburn harbour,AU,-32.08,141.0,Coburn Hotel
117,bardiyah,LY,31.76,25.09,Hotel Burdy
118,torbay,CA,47.67,-52.73,
119,padang,ID,-0.95,100.35,Mercure Padang
120,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
121,chernyshevskiy,RU,63.01,112.47,
122,faanui,PF,-16.48,-151.75,Le Méridien Bora Bora
123,bandarbeyla,SO,9.49,50.81,REER XOOSHLE GROUP
124,sao jose do calcado,IN,20.51,76.21,BULDANA URBAN RESIDENCY CLUB
125,djambala,CG,-2.54,14.75,Hotel Ngangouoni Ipari Salem
126,paamiut,GL,61.99,-49.67,Yeet Hotel
127,yellowknife,CA,62.46,-114.35,The Explorer Hotel
128,kavieng,PG,-2.57,150.8,Nusa Island Retreat
129,kangaatsiaq,GL,68.31,-53.46,
130,mount gambier,GB,53.66,-1.85,Clarion Cedar Court Huddersfield Hotel
131,hasaki,JP,35.73,140.83,別邸 海と森
132,coahuayana,MX,18.73,-103.68,Hotel Posada Navideña
133,oktyabrskiy,RU,54.48,53.47,Hotel Devon
134,rongcheng,CN,30.63,117.85,Xifeng Hotel
135,tarauaca,BR,-8.16,-70.77,Hotel Ferreira
136,abonnema,NG,4.71,6.79,
137,lakes entrance,US,61.61,-149.31,Grand View Inn & Suites
138,basco,PH,20.45,121.97,Residencia du Basco
139,khandyga,RU,62.67,135.6,Prezidentskaya Gostinitsa
140,vieques,PR,18.43,-65.83,"The St. Regis Bahia Beach Resort, Puerto Rico"
141,vila velha,PT,42.03,-8.16,Moinho do Poço Verde
142,victor harbor,US,42.98,-77.41,Hampton Inn & Suites Rochester/Victor
143,upernavik,GL,72.79,-56.15,Gina's Guesthouse - Upernavik
144,new norfolk,LR,6.65,-10.59,
145,beaufort,MY,5.35,115.75,The Gem Hotel Beaufort
146,shihezi,CN,44.3,86.03,Shihezi Hotel
147,bograd,RU,54.23,90.83,Gostinitsa Berezka
148,grand-santi,GF,4.25,-54.38,Hôtel La Villa Couacou
149,saint-philippe,RE,-21.36,55.77,Pinpin d'Amour
150,karabuk,TR,41.2,32.63,Kahveciler Konagi
151,sault sainte marie,FR,44.09,5.41,Hotel D'Albion
152,san patricio,ML,13.3,-4.9,Hôtel Teriya
153,aldan,RU,58.6,125.39,Yakutia Hotel
154,beyneu,KZ,45.32,55.2,Gostinitsa Zhibek-Zholy Beyneu
155,progreso,MX,21.28,-89.67,Hotel Tropical Suites
156,mogadishu,SO,2.04,45.34,Dolphin Hotel
157,saskylakh,RU,71.92,114.08,
158,morro bay,EC,-2.63,-80.33,Playa Paraíso Gastronomía & Lodge
159,castro,BR,-24.79,-50.01,Hotel Buganville Express
160,marawi,PH,8.0,124.29,Marawi Resort Hotel
161,ponta delgada,PT,38.73,-28.27,Blue Planet São Jorge Azores AL
162,fare,PF,-16.7,-151.02,Maitai Lapita Village Huahine
163,muros,ES,42.78,-9.06,Hotel La Muradana
164,hilo,US,19.73,-155.09,Hilo Hawaiian Hotel
165,caraballeda,VE,10.61,-66.85,Ole Caribe
166,esperance,AU,-33.87,121.9,Esperance YHA
167,niort,FR,46.33,-0.33,Hôtel Restaurant Campanile Niort
168,najran,SA,17.49,44.13,
169,bredasdorp,ZA,-34.53,20.04,6 On Kloof Guesthouse
170,tecpatan,MX,17.13,-93.3,Hotel Andrea
171,rawson,AR,-43.3,-65.1,Hotel Punta León
172,katsuura,JP,35.13,140.3,Katsuura Hotel Mikazuki
173,granville,AU,-33.83,151.02,Mantra Parramatta
174,coos bay,US,43.17,-124.0,
175,sao filipe,IN,20.51,76.21,BULDANA URBAN RESIDENCY CLUB
176,kachug,RU,53.96,105.88,three Pines
177,auki,SB,-8.77,160.7,Auki Lodge
178,garmsar,IR,35.22,52.34,Khanemoalem garmsar خانه معلم
179,peniche,PT,39.36,-9.38,Hotel Star inn Peniche
180,luderitz,,-26.65,15.16,LÜDERITZ NEST HOTEL
181,mandurah,AU,-32.55,115.7,The Sebel Mandurah
182,itarema,BR,-2.92,-39.92,Hotel Itarema Residence
183,vysokogornyy,RU,50.12,139.15,
184,hima,UG,0.3,30.18,
185,lukovetskiy,RU,64.3,41.92,Gostinitsa
186,kuytun,RU,54.34,101.5,Zhemchug
187,nelson bay,NZ,-41.28,173.28,Hotel Grand Mercure Nelson Monaco Apartments
188,sambava,MG,-14.27,50.17,Carrefour
189,nueva florida,EC,-1.72,-79.83,
190,luganville,VU,-15.53,167.17,Hotel Santo
191,vao,NC,-22.67,167.48,Hotel Kou-Bugny
192,ahipara,NZ,-35.17,173.17,The Huts
193,ust-uda,RU,54.17,103.03,Gostinitsa Khostel
194,moroni,KM,-11.7,43.26,Golden Tulip Grande Comore Moroni Resort & Spa
195,tigil,RU,57.8,158.67,Tigil'
196,bethel,US,41.37,-73.41,Courtyard by Marriott Danbury
197,constitucion,CL,-35.33,-72.42,Hotel Montt Plaza
198,flinders,AU,-34.58,150.86,Barrack Point Holidays
199,gizo,SB,-8.1,156.84,Oravae Island Cottages
200,ribeira grande,ES,42.75,-8.44,
