,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,99,KI,1580021363,72,3.07,172.79,85.71,8.84
1,yellowknife,90,CA,1580021065,85,62.46,-114.35,10.4,8.05
2,bluff,79,NZ,1580021363,66,-46.6,168.33,66.99,8.99
3,arraial do cabo,0,BR,1580021363,88,-22.84,-46.65,64.4,5.82
4,hithadhoo,100,MV,1580021363,79,-0.6,73.08,83.01,12.75
5,lebu,1,CL,1580021363,92,-37.62,-73.65,59.67,6.4
6,isangel,75,VU,1580021364,94,-19.55,169.27,78.8,15.75
7,madimba,75,TZ,1580021364,88,-10.4,40.33,78.8,1.99
8,luderitz,0,NA,1580021364,87,-26.65,15.16,65.93,20.45
9,rikitea,24,PF,1580021364,78,-23.12,-134.97,78.73,11.1
10,saint-augustin,58,CA,1580021364,83,51.23,-58.65,15.89,14.61
11,okakarara,3,NA,1580021364,42,-20.58,17.43,73.26,5.64
12,sur,13,OM,1580021364,58,22.57,59.53,74.91,6.69
13,turukhansk,99,RU,1580021365,95,65.82,87.98,2.88,6.85
14,mollendo,38,PE,1580021365,84,-17.02,-72.01,70.2,6.06
15,constitucion,0,CL,1580021365,68,-35.33,-72.42,63.28,3.47
16,eyl,16,SO,1580021365,76,7.98,49.82,79.54,19.69
17,albany,90,US,1580021365,90,42.6,-73.97,37.4,8.05
18,houma,90,US,1580021366,81,29.6,-90.72,55.4,4.7
19,georgetown,20,MY,1580021366,62,5.41,100.34,91.4,10.29
20,kudahuvadhoo,100,MV,1580021366,78,2.67,72.89,82.08,15.14
21,kirundo,40,BI,1580021366,88,-2.58,30.17,69.8,0.98
22,vaini,75,TO,1580021366,100,-21.2,-175.2,77.0,9.17
23,hermanus,41,ZA,1580021366,70,-34.42,19.23,64.99,11.01
24,sorland,100,NO,1580021367,65,67.67,12.69,35.44,27.36
25,grand river south east,90,US,1580021367,92,38.88,-109.5,32.0,3.36
26,saint-philippe,24,RE,1580021367,74,-21.36,55.77,86.0,14.99
27,krasnyy yar,0,RU,1580021367,94,54.57,31.43,28.2,8.16
28,ushuaia,75,AR,1580021091,93,-54.8,-68.3,44.6,29.97
29,nome,1,US,1580021368,75,64.5,-165.41,-18.4,8.72
30,pangnirtung,100,CA,1580021368,99,66.15,-65.71,-37.46,2.84
31,bull savanna,40,LR,1580021368,100,6.2,-10.28,75.2,8.43
32,qaanaaq,58,GL,1580021368,46,77.48,-69.36,-12.08,4.68
33,hobart,77,AU,1580021108,37,-42.88,147.33,69.8,19.46
34,punta arenas,3,PH,1580021369,83,8.99,125.34,83.66,4.32
35,khatanga,57,RU,1580021369,98,71.97,102.5,-21.73,3.04
36,kapaa,75,US,1580021369,88,22.08,-159.32,73.4,9.17
37,nanakuli,1,US,1580021371,73,21.39,-158.15,75.2,4.59
38,mkushi,0,ZM,1580021371,91,-13.62,29.39,67.23,4.65
39,tagusao,29,PH,1580021378,70,9.19,117.81,83.84,5.5
40,guapi,89,CO,1580021379,97,2.57,-77.89,73.27,3.62
41,nemuro,20,JP,1580021379,52,43.32,145.57,19.4,8.05
42,east london,20,IS,1580021379,92,65.0,-15.0,21.2,6.93
43,mataura,69,NZ,1580021380,66,-46.19,168.86,66.99,8.99
44,busselton,99,AU,1580021270,19,-33.65,115.33,91.99,17.54
45,mbandaka,61,CD,1580021381,40,0.05,18.26,69.87,2.24
46,provideniya,0,RU,1580021381,72,64.38,-173.3,-5.12,4.07
47,celestun,0,MX,1580021382,83,20.87,-90.4,71.38,21.77
48,corrales,1,US,1580021382,69,35.24,-106.61,39.99,4.7
49,lompoc,90,US,1580021382,100,34.64,-120.46,55.99,6.93
50,barrow,20,US,1580021382,68,71.29,-156.79,-20.2,9.17
51,saint-orens-de-gameville,98,FR,1580021382,93,43.55,1.53,46.99,5.82
52,bambanglipuro,35,ID,1580021382,62,-7.95,110.28,87.19,8.43
53,marrakesh,20,MA,1580021383,93,31.63,-8.01,42.8,2.24
54,dikson,100,RU,1580021383,96,73.51,80.55,-4.9,3.65
55,paramirim,100,BR,1580021383,79,-13.44,-42.24,65.8,8.34
56,nouadhibou,100,MR,1580021383,72,20.93,-17.03,62.6,17.22
57,clyde river,90,US,1580021384,92,41.3,-82.98,34.0,14.99
58,luangwa,9,ZM,1580021384,80,-15.62,30.42,75.97,2.1
59,santa rosa,89,PH,1580021384,66,17.49,120.43,82.96,10.83
60,dingle,54,PH,1580021384,71,11.0,122.67,85.28,5.03
61,margate,75,GB,1580021385,93,51.38,1.39,46.99,10.29
62,kodiak,90,US,1580021385,61,57.79,-152.41,17.6,14.99
